"","TradeTime","xtsData1.Close","xtsData2.Close","xtsData3.Close","Currency.Close","Currency.Close.1","Currency.Close.2","Currency.Close.3","Currency.Close.4","Spread","SpreadRet","AD","TY","AX","Indicator","MADist"
"1",2016-01-01 13:31:00,1.0621,180.75,98.535,1,1,1,1,1,8309.0148,0,0,0,0,NA,NA
"2",2016-01-04 13:31:00,1.0615,180.640625,98.54,1,1,1,1,1,8310.4745,1.45969999999943,-0.000565078184183089,-0.000605300723224289,5.07421032712715e-05,NA,NA
"3",2016-01-04 16:00:00,1.0556,180.9375,98.605,1,1,1,1,1,8309.9428,-0.531699999999546,-0.0055736765141418,0.00164210745166482,0.000659413146215152,NA,NA
"4",2016-01-04 20:00:00,1.0545,181.078125,98.625,1,1,1,1,1,8309.6085,-0.334300000000439,-0.00104260471033981,0.000776900207404729,0.000202808904005899,NA,NA
"5",2016-01-05 00:00:00,1.0534,181.234375,98.66,1,1,1,1,1,8310.5867,0.978199999999561,-0.00104369286954042,0.000862515147485254,0.000354816639553819,NA,NA
"6",2016-01-05 04:00:00,1.0495,181.25,98.68,1,1,1,1,1,8310.106,-0.48070000000007,-0.00370916778860109,8.62106125794071e-05,0.000202695855563904,NA,NA
"7",2016-01-05 08:00:00,1.0511,181.015625,98.64,1,1,1,1,1,8309.8593,-0.246699999999691,0.00152337456862086,-0.00129394022797946,-0.000405432805067116,NA,NA
"8",2016-01-05 12:00:00,1.0512,181.0625,98.665,1,1,1,1,1,8311.8556,1.99629999999888,9.51339010373461e-05,0.000258922022764452,0.000253414765300441,NA,NA
"9",2016-01-05 16:00:00,1.0529,180.90625,98.625,1,1,1,1,1,8310.7302,-1.12539999999899,0.00161589313236762,-0.000863334250290393,-0.000405494455350978,NA,NA
"10",2016-01-05 20:00:00,1.0535,181.046875,98.63,1,1,1,1,1,8309.8955,-0.83469999999943,0.000569692381530214,0.000777034358112161,5.0695799863895e-05,NA,NA
"11",2016-01-06 00:00:00,1.0501,181.1875,98.645,1,1,1,1,1,8307.7088,-2.1867000000002,-0.00323255653229611,0.000776431044483772,0.00015207198103067,NA,NA
"12",2016-01-06 04:00:00,1.0464,181.078125,98.625,1,1,1,1,1,8304.8457,-2.86310000000049,-0.00352969600901346,-0.000603838707155191,-0.000202767780894422,NA,NA
"13",2016-01-06 08:00:00,1.0481,181.109375,98.645,1,1,1,1,1,8307.4703,2.62460000000101,0.00162329947319744,0.000172562554354272,0.000202767780894454,NA,NA
"14",2016-01-06 12:00:00,1.049,181.171875,98.655,1,1,1,1,1,8308.2495,0.779199999999037,0.000858328220165419,0.000345035800886961,0.000101368474491245,NA,NA
"15",2016-01-06 16:00:00,1.0456,181.296875,98.66,1,1,1,1,1,8305.2503,-2.9992000000002,-0.00324644608628484,0.000689714657912788,5.06803841681011e-05,NA,NA
"16",2016-01-06 20:00:00,1.0438,181.28125,98.645,1,1,1,1,1,8302.8794,-2.37089999999989,-0.00172298310069935,-8.61883215357295e-05,-0.000152048858659475,NA,NA
"17",2016-01-07 00:00:00,1.0412,181.515625,98.695,1,1,1,1,1,8303.5381,0.658699999999953,-0.0024940060889027,0.00129204548746564,0.000506739648017935,NA,NA
"18",2016-01-07 04:00:00,1.0392,181.515625,98.685,1,1,1,1,1,8301.3621,-2.17599999999948,-0.00192270776402053,0,-0.000101327388879837,NA,NA
"19",2016-01-07 08:00:00,1.0391,181.703125,98.695,1,1,1,1,1,8300.0533,-1.3088000000007,-9.62324977887286e-05,0.00103243577956835,0.000101327388879816,NA,NA
"20",2016-01-07 12:00:00,1.0409,181.640625,98.68,1,1,1,1,1,8300.3617,0.308399999999892,0.00173076966282167,-0.000344026837486133,-0.000151994933794652,NA,NA
